11,"defoe-robinson-103.txt	3.0",0.903089987
moors,"defoe-robinson-103.txt	9.0",2.709269961
parrot,"defoe-robinson-103.txt	9.0",2.709269961
post,"defoe-robinson-103.txt	9.0",2.709269961
rich,"defoe-robinson-103.txt	9.0",2.709269961
ruin,"defoe-robinson-103.txt	9.0",2.709269961
saving,"defoe-robinson-103.txt	9.0",2.709269961
serious,"defoe-robinson-103.txt	9.0",2.709269961
signal,"defoe-robinson-103.txt	9.0",2.709269961
subject,"defoe-robinson-103.txt	9.0",2.709269961
thereabouts,"defoe-robinson-103.txt	9.0",2.709269961
wooden,"defoe-robinson-103.txt	9.0",2.709269961
affairs,"defoe-robinson-103.txt	8.0",2.408239965
bushels,"defoe-robinson-103.txt	8.0",2.408239965
candles,"defoe-robinson-103.txt	8.0",2.408239965
contented,"defoe-robinson-103.txt	8.0",2.408239965
contrived,"defoe-robinson-103.txt	8.0",2.408239965
countrymen,"defoe-robinson-103.txt	8.0",2.408239965
dangers,"defoe-robinson-103.txt	8.0",2.408239965
dram,"defoe-robinson-103.txt	8.0",2.408239965
expectation,"defoe-robinson-103.txt	8.0",2.408239965
fain,"defoe-robinson-103.txt	8.0",2.408239965
harbor,"defoe-robinson-103.txt	8.0",2.408239965
hither,"defoe-robinson-103.txt	8.0",2.408239965
july,"defoe-robinson-103.txt	8.0",2.408239965
monstrous,"defoe-robinson-103.txt	8.0",2.408239965
nations,"defoe-robinson-103.txt	8.0",2.408239965
notions,"defoe-robinson-103.txt	8.0",2.408239965
produce,"defoe-robinson-103.txt	8.0",2.408239965
proposal,"defoe-robinson-103.txt	8.0",2.408239965
remote,"defoe-robinson-103.txt	8.0",2.408239965
sailed,"defoe-robinson-103.txt	8.0",2.408239965
sailor,"defoe-robinson-103.txt	8.0",2.408239965
upper,"defoe-robinson-103.txt	8.0",2.408239965
venturing,"defoe-robinson-103.txt	8.0",2.408239965
widow,"defoe-robinson-103.txt	8.0",2.408239965
4,"defoe-robinson-103.txt	7.0",2.10720997
act,"defoe-robinson-103.txt	7.0",2.10720997
application,"defoe-robinson-103.txt	7.0",2.10720997
assistance,"defoe-robinson-103.txt	7.0",2.10720997
assisted,"defoe-robinson-103.txt	7.0",2.10720997
beat,"defoe-robinson-103.txt	7.0",2.10720997
blessed,"defoe-robinson-103.txt	7.0",2.10720997
boatswain,"defoe-robinson-103.txt	7.0",2.10720997
cables,"defoe-robinson-103.txt	7.0",2.10720997
clock,"defoe-robinson-103.txt	7.0",2.10720997
depend,"defoe-robinson-103.txt	7.0",2.10720997
englishman,"defoe-robinson-103.txt	7.0",2.10720997
exactly,"defoe-robinson-103.txt	7.0",2.10720997
