aimed,defoe-robinson-103.txt	2.0,0.6020599913279624
ain,callwild	6.193293E-5,1.8643669463940177E-5
air,callwild	6.812622E-4,0.0
air,defoe-robinson-103.txt	5.0,0.0
alarmed,defoe-robinson-103.txt	2.0,0.6020599913279624
alert,callwild	1.5483232E-4,4.6609172564709694E-5
algerines,defoe-robinson-103.txt	1.0,0.3010299956639812
alicant,defoe-robinson-103.txt	1.0,0.3010299956639812
alice,callwild	3.0966465E-5,9.321834731970088E-6
alike,defoe-robinson-103.txt	1.0,0.3010299956639812
allowance,defoe-robinson-103.txt	1.0,0.3010299956639812
allowed,defoe-robinson-103.txt	4.0,0.0
allowed,callwild	6.193293E-5,0.0
almost,defoe-robinson-103.txt	66.0,0.0
almost,callwild	2.1676524E-4,0.0
aloes,defoe-robinson-103.txt	1.0,0.3010299956639812
alongside,callwild	9.289939E-5,2.7965503100769518E-5
already,defoe-robinson-103.txt	12.0,0.0
already,callwild	6.193293E-5,0.0
alter,callwild	3.0966465E-5,0.0
alter,defoe-robinson-103.txt	1.0,0.0
although,defoe-robinson-103.txt	1.0,0.3010299956639812
am,defoe-robinson-103.txt	30.0,9.030899869919436
amassed,defoe-robinson-103.txt	1.0,0.3010299956639812
amazed,defoe-robinson-103.txt	13.0,3.9133899436317554
amazement,defoe-robinson-103.txt	3.0,0.9030899869919435
amazingly,callwild	3.0966465E-5,9.321834731970088E-6
amazon,defoe-robinson-103.txt	1.0,0.3010299956639812
ambush,defoe-robinson-103.txt	1.0,0.3010299956639812
amends,defoe-robinson-103.txt	1.0,0.3010299956639812
america,defoe-robinson-103.txt	10.0,3.010299956639812
among,callwild	4.9546344E-4,0.0
among,defoe-robinson-103.txt	56.0,0.0
amount,callwild	3.0966465E-5,0.0
amount,defoe-robinson-103.txt	1.0,0.0
amounting,defoe-robinson-103.txt	1.0,0.3010299956639812
amusements,defoe-robinson-103.txt	1.0,0.3010299956639812
ancestors,callwild	9.289939E-5,2.7965503100769518E-5
anchorage,defoe-robinson-103.txt	1.0,0.3010299956639812
anchors,defoe-robinson-103.txt	2.0,0.6020599913279624
ancient,callwild	9.289939E-5,0.0
ancient,defoe-robinson-103.txt	7.0,0.0
angels,defoe-robinson-103.txt	2.0,0.6020599913279624
animal,callwild	2.4773172E-4,0.0
animal,defoe-robinson-103.txt	1.0,0.0
ankles,defoe-robinson-103.txt	3.0,0.9030899869919435
anniversary,defoe-robinson-103.txt	4.0,1.2041199826559248
annoyed,callwild	3.0966465E-5,9.321834731970088E-6
answer,defoe-robinson-103.txt	20.0,0.0
answer,callwild	6.193293E-5,0.0
answerable,defoe-robinson-103.txt	1.0,0.3010299956639812
answering,defoe-robinson-103.txt	3.0,0.0
answering,callwild	3.0966465E-5,0.0
antagonist,callwild	9.289939E-5,2.7965503100769518E-5
anticipate,defoe-robinson-103.txt	1.0,0.3010299956639812
anticipated,defoe-robinson-103.txt	1.0,0.3010299956639812
anxieties,defoe-robinson-103.txt	1.0,0.3010299956639812
anxiety,defoe-robinson-103.txt	3.0,0.9030899869919435
any,callwild	5.2642985E-4,0.0
any,defoe-robinson-103.txt	309.0,0.0
anybody,defoe-robinson-103.txt	3.0,0.9030899869919435
anyt,callwild	6.193293E-5,1.8643669463940177E-5
anything,callwild	3.0966464E-4,0.0
anything,defoe-robinson-103.txt	55.0,0.0
apace,defoe-robinson-103.txt	2.0,0.6020599913279624
apart,defoe-robinson-103.txt	6.0,0.0
apart,callwild	6.193293E-5,0.0
apartment,defoe-robinson-103.txt	5.0,1.505149978319906
apex,callwild	3.0966465E-5,9.321834731970088E-6
apparently,callwild	9.289939E-5,0.0
apparently,defoe-robinson-103.txt	2.0,0.0
apparitions,defoe-robinson-103.txt	1.0,0.3010299956639812
appealed,callwild	3.0966465E-5,9.321834731970088E-6
appealingly,callwild	3.0966465E-5,9.321834731970088E-6
appearance,callwild	9.289939E-5,0.0
appearance,defoe-robinson-103.txt	12.0,0.0
appeared,callwild	2.1676524E-4,0.0
appeared,defoe-robinson-103.txt	34.0,0.0
application,defoe-robinson-103.txt	7.0,2.1072099696478683
apply,defoe-robinson-103.txt	5.0,1.505149978319906
applying,defoe-robinson-103.txt	2.0,0.6020599913279624
appointed,callwild	3.0966465E-5,0.0
appointed,defoe-robinson-103.txt	5.0,0.0
apprehended,defoe-robinson-103.txt	2.0,0.6020599913279624
apprehension,defoe-robinson-103.txt	4.0,0.0
apprehension,callwild	3.0966465E-5,0.0
apprehensive,defoe-robinson-103.txt	5.0,1.505149978319906
approach,defoe-robinson-103.txt	4.0,1.2041199826559248
approaching,defoe-robinson-103.txt	1.0,0.3010299956639812
april,defoe-robinson-103.txt	11.0,3.3113299523037933
arbitrary,defoe-robinson-103.txt	1.0,0.3010299956639812
arbours,callwild	3.0966465E-5,9.321834731970088E-6
arctic,callwild	1.2386586E-4,3.7287338927880353E-5
ardent,defoe-robinson-103.txt	2.0,0.6020599913279624
are,callwild	1.8579878E-4,0.0
are,defoe-robinson-103.txt	98.0,0.0
argue,defoe-robinson-103.txt	1.0,0.3010299956639812
argued,defoe-robinson-103.txt	2.0,0.6020599913279624
arguments,defoe-robinson-103.txt	4.0,1.2041199826559248
aristocrat,callwild	3.0966465E-5,9.321834731970088E-6
arm,callwild	1.2386586E-4,0.0
arm,defoe-robinson-103.txt	9.0,0.0
arose,defoe-robinson-103.txt	1.0,0.0
arose,callwild	1.5483232E-4,0.0
arraign,defoe-robinson-103.txt	1.0,0.3010299956639812
arranged,callwild	3.0966465E-5,9.321834731970088E-6
arrangement,callwild	3.0966465E-5,9.321834731970088E-6
arrested,callwild	3.0966465E-5,9.321834731970088E-6
arriving,defoe-robinson-103.txt	1.0,0.3010299956639812
arrows,defoe-robinson-103.txt	3.0,0.0
arrows,callwild	1.5483232E-4,0.0
article,defoe-robinson-103.txt	1.0,0.0
article,callwild	6.193293E-5,0.0
articulate,callwild	3.0966465E-5,9.321834731970088E-6
as,callwild	0.007927415,0.0
as,defoe-robinson-103.txt	1560.0,0.0
ashes,defoe-robinson-103.txt	2.0,0.6020599913279624
ashore,callwild	3.0966465E-5,0.0
ashore,defoe-robinson-103.txt	8.0,0.0
aside,defoe-robinson-103.txt	8.0,0.0
aside,callwild	3.0966465E-5,0.0
asked,callwild	1.8579878E-4,0.0
asked,defoe-robinson-103.txt	47.0,0.0
asleep,callwild	6.193293E-5,0.0
asleep,defoe-robinson-103.txt	9.0,0.0
aspect,callwild	6.193293E-5,0.0
aspect,defoe-robinson-103.txt	1.0,0.0
aspens,callwild	3.0966465E-5,9.321834731970088E-6
aspired,callwild	3.0966465E-5,9.321834731970088E-6
assailed,callwild	3.0966465E-5,9.321834731970088E-6
assiento,defoe-robinson-103.txt	1.0,0.3010299956639812
assigned,defoe-robinson-103.txt	1.0,0.3010299956639812
assistance,defoe-robinson-103.txt	7.0,2.1072099696478683
assistant,defoe-robinson-103.txt	2.0,0.6020599913279624
assisted,defoe-robinson-103.txt	7.0,2.1072099696478683
assortment,callwild	3.0966465E-5,9.321834731970088E-6
assurances,defoe-robinson-103.txt	2.0,0.6020599913279624
assuring,defoe-robinson-103.txt	2.0,0.6020599913279624
astonished,defoe-robinson-103.txt	7.0,0.0
astonished,callwild	3.0966465E-5,0.0
asunder,defoe-robinson-103.txt	2.0,0.0
asunder,callwild	3.0966465E-5,0.0
ate,callwild	3.406311E-4,0.0
ate,defoe-robinson-103.txt	2.0,0.0
athletic,callwild	3.0966465E-5,9.321834731970088E-6
atkins,defoe-robinson-103.txt	6.0,1.806179973983887
atmosphere,callwild	3.0966465E-5,9.321834731970088E-6
attached,callwild	6.193293E-5,1.8643669463940177E-5
attack,defoe-robinson-103.txt	10.0,0.0
attack,callwild	1.5483232E-4,0.0
attacking,callwild	1.2386586E-4,0.0
attacking,defoe-robinson-103.txt	2.0,0.0
attempted,callwild	6.193293E-5,0.0
attempted,defoe-robinson-103.txt	9.0,0.0
attempts,defoe-robinson-103.txt	2.0,0.6020599913279624
attend,defoe-robinson-103.txt	1.0,0.3010299956639812
attending,defoe-robinson-103.txt	2.0,0.6020599913279624
attention,defoe-robinson-103.txt	2.0,0.0
attention,callwild	3.0966465E-5,0.0
attested,defoe-robinson-103.txt	1.0,0.3010299956639812
attitude,callwild	3.0966465E-5,9.321834731970088E-6
attorney,defoe-robinson-103.txt	1.0,0.3010299956639812
attracted,callwild	3.0966465E-5,9.321834731970088E-6
audibly,defoe-robinson-103.txt	1.0,0.3010299956639812
augustines,defoe-robinson-103.txt	1.0,0.3010299956639812
aurora,callwild	3.0966465E-5,9.321834731970088E-6
authors,defoe-robinson-103.txt	1.0,0.3010299956639812
ave,defoe-robinson-103.txt	1.0,0.3010299956639812
avenue,defoe-robinson-103.txt	1.0,0.3010299956639812
avoided,callwild	9.289939E-5,2.7965503100769518E-5
awakenings,callwild	3.0966465E-5,9.321834731970088E-6
aware,callwild	1.8579878E-4,0.0
aware,defoe-robinson-103.txt	3.0,0.0
away,callwild	0.001269625,0.0
away,defoe-robinson-103.txt	148.0,0.0
awhile,defoe-robinson-103.txt	3.0,0.9030899869919435
awkwardly,defoe-robinson-103.txt	1.0,0.3010299956639812
awning,defoe-robinson-103.txt	1.0,0.3010299956639812
axe,callwild	1.8579878E-4,0.0
axe,defoe-robinson-103.txt	8.0,0.0
ay,defoe-robinson-103.txt	3.0,0.9030899869919435
ayres,defoe-robinson-103.txt	1.0,0.3010299956639812
b,defoe-robinson-103.txt	2.0,0.6020599913279624
babel,callwild	3.0966465E-5,9.321834731970088E-6
bach,callwild	3.0966465E-5,9.321834731970088E-6
backed,callwild	1.2386586E-4,3.7287338927880353E-5
backs,defoe-robinson-103.txt	1.0,0.0
backs,callwild	6.193293E-5,0.0
backwards,defoe-robinson-103.txt	1.0,0.3010299956639812
bade,defoe-robinson-103.txt	18.0,5.418539921951662
